ID,Type,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols
1,A,13.88,1.89,2.59,15,101,3.25
2,A,13.56,1.71,2.31,16.2,117,3.15
3,A,13.24,2.59,2.87,21,118,2.8
4,A,14.38,1.87,2.38,12,102,3.3
5,A,14.1,2.02,2.4,18.8,103,2.75
6,A,12.93,3.8,2.65,18.6,102,2.41
7,A,14.21,4.04,2.44,18.9,111,2.85
8,A,13.05,1.77,2.1,17,107,3
9,A,12.37,,,,,
10,A,13.05,1.65,2.55,18,98,2.45
11,A,14.22,1.7,2.3,16.3,118,3.2
12,A,13.74,1.67,2.25,16.4,118,2.6
13,A,13.76,1.53,2.7,19.5,132,2.95
14,A,14.38,3.59,2.28,16,102,3.25
15,A,13.94,1.73,2.27,17.4,108,2.88
16,A,13.64,3.1,2.56,15.2,116,2.7
17,A,13.24,3.98,2.29,17.5,103,2.64
18,A,8888,3.78,3.91,21.7,154,3.15
19,A,13.2,1.78,2.14,11.2,100,2.65
20,A,13.86,1.35,2.27,16,98,2.98
21,A,14.06,1.63,2.28,16,126,3
22,A,14.3,1.92,2.72,20,120,2.8
23,A,13.41,3.84,2.12,18.8,90,2.45
24,A,14.12,1.48,2.32,16.8,95,2.2
25,A,,2.19,,,,
26,A,13.83,1.65,2.6,17.2,94,2.45
27,A,13,,,,,2.05
28,A,13.71,1.86,2.36,16.6,101,2.61
29,A,13.56,1.73,2.46,20.5,116,2.96
30,A,13.05,2.05,3.22,25,124,2.63
31,A,13.77,1.9,2.68,17.1,115,3
32,A,13.48,1.81,2.41,,100,2.7
33,A,14.02,1.68,2.21,16,96,2.65
34,A,,,,22.2,91,
35,A,13.73,1.5,2.7,22.5,101,3
36,A,12.25,1.22,3.36,15.9,149,1.23
37,A,13.83,1.57,2.62,20,115,2.95
38,A,13.86,1.35,2.27,16,98,2.98
39,A,14.19,1.59,2.48,16.5,108,3.3
40,A,13.68,1.83,2.36,17.2,104,2.42
41,A,14.37,1.95,2.5,16.8,113,3.85
42,A,14.1,2.16,2.3,18,105,2.95
43,A,13.72,1.43,2.5,16.7,108,3.4
44,A,14.23,1.71,2.43,15.6,127,2.8
45,A,14.2,1.76,2.45,15.2,112,3.27
46,A,13.05,1.73,2.04,12.4,92,2.72
47,A,13.51,1.8,2.65,19,110,2.35
48,A,,5.5,,11.9,,
49,A,13.28,1.64,2.84,15.5,110,2.6
50,A,13.58,1.66,2.36,19.1,106,2.86
51,A,12.85,1.6,2.52,17.8,95,2.48
52,A,13.5,1.81,2.61,20,96,2.53
53,A,13.63,1.81,2.7,17.2,112,2.85
54,A,14.06,2.15,2.61,17.6,121,2.6
55,A,14.22,3.99,2.51,13.2,128,3
56,A,14.83,1.64,2.17,14,97,2.8
57,A,13.3,1.72,2.14,17,94,2.4
58,A,13.07,1.5,2.1,15.5,98,2.4
59,A,13.87,1.9,2.8,19.4,107,2.95
60,A,13.16,2.36,2.67,18.6,101,2.8
61,A,,,,26.1,,2.05
62,A,13.9,1.68,2.12,16,101,3.1
63,A,13.39,1.77,2.62,16.1,93,2.85
64,A,14.75,1.73,2.39,11.4,91,3.1
65,A,13.82,1.75,2.42,14,111,3.88
66,A,13.36,2.67,,,,
67,A,13.29,1.97,2.68,16.8,102,3
68,A,14.39,1.87,2.45,14.6,96,2.5
69,B,11.64,2.06,2.46,21.6,84,1.95
70,B,11.82,1.47,1.99,20.8,86,1.98
71,B,12.29,1.61,2.21,20.4,103,1.1
72,B,11.61,1.35,2.7,20,94,2.74
73,B,11.65,1.67,2.62,26,88,1.92
74,B,12.29,3.17,2.21,18,88,2.85
75,B,12.72,1.75,2.28,22.5,84,1.38
76,B,12.33,0.99,1.95,14.8,136,1.9
77,B,13.05,5.8,2.13,21.5,86,2.62
78,B,12.42,2.55,2.27,22,90,1.68
79,B,12.69,1.53,2.26,20.7,80,1.38
80,B,11.82,1.72,1.88,19.5,86,2.5
81,B,12.07,2.16,2.17,21,85,2.6
82,B,12.37,1.07,2.1,18.5,88,3.52
83,B,12,0.92,2,19,86,2.42
84,B,12,1.51,2.42,22,86,1.45
85,B,12,3.43,2,19,87,2
86,B,12.08,2.08,1.7,17.5,97,2.23
87,B,12.37,1.13,2.16,19,87,3.5
88,B,11.76,2.68,2.92,20,103,1.75
89,B,13.86,1.51,2.67,25,86,2.95
90,B,12.08,1.33,2.3,23.6,70,2.2
91,B,11.66,1.88,1.92,16,97,1.61
92,B,13.49,1.66,2.24,24,87,1.88
93,B,12.37,0.94,1.36,10.6,,1.98
94,B,13.67,1.25,1.92,18,94,2.1
95,B,13.05,3.86,2.32,22.5,85,1.65
96,B,12.07,,2.81,,,
97,B,12.29,1.41,1.98,16,85,2.55
98,B,12.51,1.73,1.98,20.5,85,2.2
99,B,11.45,2.4,2.42,20,96,2.9
100,B,12.37,1.17,1.92,19.6,78,2.11
101,B,12.34,2.45,2.46,21,98,2.56
102,B,14.59,,,,,
103,B,,,,22,155,
104,B,12.08,1.13,2.51,24,78,2
105,B,11.46,3.74,1.82,19.5,107,3.18
106,B,11.96,1.09,2.3,21,101,3.38
107,B,12.37,1.63,2.3,24.5,88,2.22
108,B,11.87,4.31,2.39,21,82,2.86
109,B,12.77,3.43,1.98,16,80,1.63
110,B,12.33,1.1,2.28,16,101,2.05
111,B,,3.79,,,,2.05
112,B,,,,15.4,,
