,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline
Alcohol,0.18698650167882525,0.480974545473382,-0.2264309055978966,-0.08936618520550872,-0.22163206595859997,-0.05257153047624758,-0.21823197257639432,-0.11867531331953102,-0.3478277109734984,-0.5809792880316056,-0.24235885570240853,-0.20843073632421388,0.012102312999797648
Malic_Acid,-0.22526233009130975,0.24697489044613619,0.07967151964081276,0.03428156020426345,-0.3723071908408797,0.70871154264536,-0.3777948820433424,0.21059958840969442,0.1399136271478168,0.14974314442235273,0.08918342091191651,0.007833199691338394,0.052514580888175164
Ash,0.019587517008765678,0.35090101173556126,0.6095901560190475,0.051252643581067556,0.03432690978643284,-0.27910453569127847,-0.21256307853931175,-0.03421842067748271,0.0721268860751522,0.31594093248054606,-0.4990531871428881,-0.01042691346040586,-0.1504739561085384
Ash_Alcalinity,-0.2519899095855193,0.04507412610927625,0.6050195840462457,-0.004008098370791508,0.060821376530027275,0.08520573735523339,0.10425725349153717,-0.3860326541742663,-0.30811040368555853,-0.24377882362181577,0.47168950559920575,-0.10202762501373629,0.10145857534363299
Magnesium,0.16885439661255758,0.28955230577320856,0.06662402979191889,0.3785010240336558,0.6947626090969731,0.20762416890113447,-0.012714280622545598,0.32420984405216846,0.1298874285992652,-0.2755775176685791,0.07325210067222368,0.09157040950323576,0.04800616106914836
Total_Phenols,0.41656185011084257,-0.0022988715296351804,0.16948119832911493,-0.046925945697075935,-0.2074315815279096,-0.016481027445067457,0.07123751049190498,0.007303097680453615,0.5152639835537778,-0.1845212195491743,0.2913861679418302,-0.3619181680388802,-0.4813332560727439
Flavanoids,0.43523530652003567,-0.0690731329712905,0.18338605005427805,-0.06945280377411696,-0.13516078810582335,-0.02801402588239704,-0.0019845112426132992,-0.008590989451789101,0.2429359653838612,-0.007153770942965651,-0.02299986487952147,-0.09146100679595756,0.8247732161126992
Nonflavanoid_Phenols,-0.31763585885417994,0.11880066167912381,0.16431904056960725,-0.1418742476876804,-0.25764161973265126,-0.36833039432585013,0.20698256701032944,0.7091598486215296,0.021287707125998073,-0.23628991465564964,0.1338586074739665,0.09042839468173818,0.08767750883704323
Proanthocyanins,0.33307136819014843,-0.025175063204901076,0.17325686422512607,-0.062168626503560524,-0.09572108762607494,0.402036277768808,0.6094086649085035,0.2207697172675985,-0.41027556658261766,0.12588591918097408,-0.24986928382073922,-0.06644745043130557,-0.11229287033011198
Color_Intensity,-0.04508016561146569,0.5412600053301174,-0.14254708057248427,-0.022734938532219334,-0.13521498060337359,0.00491390511538257,0.470664334177458,-0.336945670011676,0.31427123575566196,0.05003086840119589,0.06907841718078729,0.4726662204866613,0.03673716256851049
Hue,0.023435922248470877,-0.09326880426615626,-0.012480003830146117,0.8976151002561573,-0.3874638622081807,-0.1403709690586357,0.0701999709307929,-0.03188630693485395,-0.09217038194330272,-0.01288310209490178,0.009456097783286255,0.006319802845795547,0.0177575818969002
OD280_OD315,0.3756782413340188,-0.23352671591071816,0.197968089227291,-0.08568469940776062,-0.13849845981824369,0.010234397215273344,-0.2905939863916973,0.032046880366906755,-0.1400946935097167,-0.20170130330526767,0.07673939039936441,0.7475871860385142,-0.16719447502863524
Proline,0.321559187830808,0.35063257355936994,-0.1457878051952193,-0.018491784396911713,0.016209073050379698,-0.2202436655809105,-0.15242802118277735,0.13751227960341894,-0.3496464394790259,0.5056860473486141,0.5290176754756498,-0.05752774522499575,0.002523554249754623
Variance,4.377069949575044,2.301078289547323,1.443275492912872,1.032736253784858,0.8623521626674023,0.762251461334447,0.6505372924323782,0.5183444836477348,0.30843286635056083,0.284599513755053,0.23562532276979,0.1862143132116267,0.11134623437455082
Variance\%,0.33479544160156777,0.1760059882487304,0.11039395339098886,0.07899242966802908,0.06596000896543361,0.058303458146398354,0.049758610807517825,0.03964738336462463,0.023591562137200643,0.02176858514597536,0.018022623558228174,0.014243250380376483,0.0085167045849287
Cum\%,33.479544,51.08014299999999,62.11953799999999,70.01878099999999,76.61478199999999,82.445128,87.42098899999999,91.38572699999999,93.74488299999999,95.92174199999998,97.72400399999998,99.14832899999998,99.99999899999997
