  자료구조 7주차 2번.c
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(47,9): warning C4033:  'singleLinkedList_init'은(는) 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(80,9): warning C4033:  'singleLinkedList_getNewNode'은(는) 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(86,9): warning C4033:  'singleLinkedList_getNewNode'은(는) 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(98,6): warning C4101:  'node_post' :참조되지 않은 지역 변수입니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(196,9): warning C4033:  'singleLinkedList_addNode'은(는) 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(270,9): warning C4033:  'set_initGroup_byLinkedList'은(는) 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(283,34): warning C4013:  'set_isEmpty_byLinkedList'이(가) 정의되지 않았습니다. extern은 int형을 반환하는 것으로 간주합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101:  'group3' :참조되지 않은 지역 변수입니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101: C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(64) : warning C4715: 'singleLinkedList_init': 모든 제어 경로에서 값을 반환하지는 않습니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101: C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(95) : warning C4715: 'singleLinkedList_getNewNode': 모든 제어 경로에서 값을 반환하지는 않습니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101: C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(227) : warning C4715: 'singleLinkedList_addNode': 모든 제어 경로에서 값을 반환하지는 않습니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101: C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(345) : warning C4716: 'set_subtract_byLinkedList': 값을 반환해야 합니다.
C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(477,6): warning C4101: C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\자료구조 15주차 집합\자료구조 7주차 2번.c(275) : warning C4715: 'set_initGroup_byLinkedList': 모든 제어 경로에서 값을 반환하지는 않습니다.
  자료구조 15주차 집합.vcxproj -> C:\Users\user\Desktop\programming_PROJECTS\git-SJU-Subject\SJU-Subject\자료구조 15주차 집합\Debug\자료구조 15주차 집합.exe
