x1_kernel_area,x2_kernel_length,wheat_varieties
15.26,5.22,Kama
14.88,4956.0,Kama
14.29,4825.0,Kama
13.84,4805.0,Kama
16.14,5175.0,Kama
14.38,4956.0,Kama
14.69,5219.0,Kama
14.11,5.0,Kama
16.63,5877.0,Kama
16.44,5533.0,Kama
15.26,5314.0,Kama
14.03,5001.0,Kama
13.89,4738.0,Kama
13.78,4872.0,Kama
13.74,4825.0,Kama
14.59,4781.0,Kama
13.99,4781.0,Kama
15.69,5046.0,Kama
14.7,4649.0,Kama
12.72,4914.0,Kama
14.16,5176.0,Kama
14.11,5219.0,Kama
15.88,5091.0,Kama
12.08,4961.0,Kama
15.01,5001.0,Kama
16.19,5307.0,Kama
13.02,4825.0,Kama
12.74,4869.0,Kama
14.11,5038.0,Kama
13.45,5097.0,Kama
13.16,5056.0,Kama
15.49,5228.0,Kama
14.09,5299.0,Kama
13.94,5012.0,Kama
15.05,5.36,Kama
16.12,5443.0,Kama
16.2,5527.0,Kama
17.08,5484.0,Kama
14.8,5309.0,Kama
14.28,5001.0,Kama
13.54,5178.0,Kama
13.5,5176.0,Kama
13.16,4783.0,Kama
15.5,5528.0,Kama
15.11,5.18,Kama
13.8,4961.0,Kama
15.36,5132.0,Kama
14.99,5175.0,Kama
14.79,5111.0,Kama
14.86,5351.0,Kama
14.43,5144.0,Kama
15.78,5136.0,Kama
14.49,5396.0,Kama
14.33,5224.0,Kama
14.52,5487.0,Kama
15.03,5439.0,Kama
14.46,5044.0,Kama
14.92,5088.0,Kama
15.38,5222.0,Kama
12.11,4519.0,Kama
11.42,4607.0,Kama
11.23,4703.0,Kama
12.36,4605.0,Kama
13.22,5088.0,Kama
12.78,4782.0,Kama
12.88,4607.0,Kama
14.34,5.15,Kama
14.01,5132.0,Kama
14.37,5.3,Kama
12.73,5067.0,Kama
17.63,6.06,Rosa
16.84,5877.0,Rosa
17.26,5791.0,Rosa
19.11,6079.0,Rosa
16.82,5841.0,Rosa
16.77,5795.0,Rosa
17.32,5922.0,Rosa
20.71,6451.0,Rosa
18.94,6362.0,Rosa
17.12,5746.0,Rosa
16.53,5.88,Rosa
18.72,5879.0,Rosa
20.2,6187.0,Rosa
19.57,6273.0,Rosa
19.51,6185.0,Rosa
18.27,6197.0,Rosa
18.88,6109.0,Rosa
18.98,6498.0,Rosa
21.18,6231.0,Rosa
20.88,6321.0,Rosa
20.1,6449.0,Rosa
18.76,6053.0,Rosa
18.81,6053.0,Rosa
18.59,5877.0,Rosa
18.36,6448.0,Rosa
16.87,5967.0,Rosa
19.31,6238.0,Rosa
18.98,6453.0,Rosa
18.17,6273.0,Rosa
18.72,6097.0,Rosa
16.41,5618.0,Rosa
17.99,5837.0,Rosa
19.46,6009.0,Rosa
19.18,6229.0,Rosa
18.95,6148.0,Rosa
18.83,5879.0,Rosa
18.85,6.2,Rosa
17.63,5929.0,Rosa
19.94,6.55,Rosa
18.55,5894.0,Rosa
18.45,5794.0,Rosa
19.38,5965.0,Rosa
19.13,5924.0,Rosa
19.14,6053.0,Rosa
20.97,6316.0,Rosa
19.06,6163.0,Rosa
18.96,5.75,Rosa
19.15,6185.0,Rosa
18.89,5966.0,Rosa
20.03,6.32,Rosa
20.24,6188.0,Rosa
18.14,6011.0,Rosa
16.17,5703.0,Rosa
18.43,5905.0,Rosa
15.99,5144.0,Rosa
18.75,5992.0,Rosa
18.65,6102.0,Rosa
17.98,5919.0,Rosa
20.16,6185.0,Rosa
17.55,5661.0,Rosa
18.3,5962.0,Rosa
18.94,5949.0,Rosa
15.38,5795.0,Rosa
16.16,5795.0,Rosa
15.56,5847.0,Rosa
15.38,5439.0,Rosa
17.36,5971.0,Rosa
15.57,5879.0,Rosa
15.6,5752.0,Rosa
16.23,5922.0,Rosa
13.07,5395.0,Canadian
13.32,5.44,Canadian
13.34,5307.0,Canadian
12.22,5221.0,Canadian
11.82,5178.0,Canadian
11.21,5275.0,Canadian
11.43,5132.0,Canadian
12.49,5002.0,Canadian
12.7,5316.0,Canadian
10.79,5194.0,Canadian
11.83,5307.0,Canadian
12.01,5.27,Canadian
12.26,5.36,Canadian
11.18,5001.0,Canadian
11.36,5263.0,Canadian
11.19,5219.0,Canadian
11.34,5003.0,Canadian
12.13,5.22,Canadian
11.75,5.31,Canadian
11.49,5.31,Canadian
12.54,5491.0,Canadian
12.02,5308.0,Canadian
12.05,5046.0,Canadian
12.55,5176.0,Canadian
11.14,5049.0,Canadian
12.1,5056.0,Canadian
12.44,5.27,Canadian
12.15,5338.0,Canadian
11.35,5132.0,Canadian
11.24,5088.0,Canadian
11.02,5163.0,Canadian
11.55,4956.0,Canadian
11.27,5.0,Canadian
11.4,5089.0,Canadian
10.83,5185.0,Canadian
10.8,5063.0,Canadian
11.26,5092.0,Canadian
10.74,4963.0,Canadian
11.48,5002.0,Canadian
12.21,5178.0,Canadian
11.41,4825.0,Canadian
12.46,5147.0,Canadian
12.19,5158.0,Canadian
11.65,5135.0,Canadian
12.89,5316.0,Canadian
11.56,5182.0,Canadian
11.81,5352.0,Canadian
10.91,4956.0,Canadian
11.23,4957.0,Canadian
10.59,4794.0,Canadian
10.93,5045.0,Canadian
11.27,5001.0,Canadian
11.87,5132.0,Canadian
10.82,5089.0,Canadian
12.11,5012.0,Canadian
12.8,4914.0,Canadian
12.79,4958.0,Canadian
13.37,5091.0,Canadian
12.62,5231.0,Canadian
12.76,4.83,Canadian
12.38,5045.0,Canadian
12.67,4745.0,Canadian
11.18,4828.0,Canadian
12.7,5.0,Canadian
12.37,5001.0,Canadian
12.19,4.87,Canadian
11.23,5003.0,Canadian
13.2,5056.0,Canadian
11.84,5044.0,Canadian
12.3,5063.0,Canadian
