X1 kernel_area,X2 kernel_length,Wheat Varieties
15.26, 5.22 , Kama 
14.88," 4,956 ", Kama 
14.29," 4,825 ", Kama 
13.84," 4,805 ", Kama 
16.14," 5,175 ", Kama 
14.38," 4,956 ", Kama 
14.69," 5,219 ", Kama 
14.11, 5 , Kama 
16.63," 5,877 ", Kama 
16.44," 5,533 ", Kama 
15.26," 5,314 ", Kama 
14.03," 5,001 ", Kama 
13.89," 4,738 ", Kama 
13.78," 4,872 ", Kama 
13.74," 4,825 ", Kama 
14.59," 4,781 ", Kama 
13.99," 4,781 ", Kama 
15.69," 5,046 ", Kama 
14.7," 4,649 ", Kama 
12.72," 4,914 ", Kama 
14.16," 5,176 ", Kama 
14.11," 5,219 ", Kama 
15.88," 5,091 ", Kama 
12.08," 4,961 ", Kama 
15.01," 5,001 ", Kama 
16.19," 5,307 ", Kama 
13.02," 4,825 ", Kama 
12.74," 4,869 ", Kama 
14.11," 5,038 ", Kama 
13.45," 5,097 ", Kama 
13.16," 5,056 ", Kama 
15.49," 5,228 ", Kama 
14.09," 5,299 ", Kama 
13.94," 5,012 ", Kama 
15.05, 5.36 , Kama 
16.12," 5,443 ", Kama 
16.2," 5,527 ", Kama 
17.08," 5,484 ", Kama 
14.8," 5,309 ", Kama 
14.28," 5,001 ", Kama 
13.54," 5,178 ", Kama 
13.5," 5,176 ", Kama 
13.16," 4,783 ", Kama 
15.5," 5,528 ", Kama 
15.11, 5.18 , Kama 
13.8," 4,961 ", Kama 
15.36," 5,132 ", Kama 
14.99," 5,175 ", Kama 
14.79," 5,111 ", Kama 
14.86," 5,351 ", Kama 
14.43," 5,144 ", Kama 
15.78," 5,136 ", Kama 
14.49," 5,396 ", Kama 
14.33," 5,224 ", Kama 
14.52," 5,487 ", Kama 
15.03," 5,439 ", Kama 
14.46," 5,044 ", Kama 
14.92," 5,088 ", Kama 
15.38," 5,222 ", Kama 
12.11," 4,519 ", Kama 
11.42," 4,607 ", Kama 
11.23," 4,703 ", Kama 
12.36," 4,605 ", Kama 
13.22," 5,088 ", Kama 
12.78," 4,782 ", Kama 
12.88," 4,607 ", Kama 
14.34, 5.15 , Kama 
14.01," 5,132 ", Kama 
14.37, 5.3 , Kama 
12.73," 5,067 ", Kama 
17.63, 6.06 , Rosa 
16.84," 5,877 ", Rosa 
17.26," 5,791 ", Rosa 
19.11," 6,079 ", Rosa 
16.82," 5,841 ", Rosa 
16.77," 5,795 ", Rosa 
17.32," 5,922 ", Rosa 
20.71," 6,451 ", Rosa 
18.94," 6,362 ", Rosa 
17.12," 5,746 ", Rosa 
16.53, 5.88 , Rosa 
18.72," 5,879 ", Rosa 
20.2," 6,187 ", Rosa 
19.57," 6,273 ", Rosa 
19.51," 6,185 ", Rosa 
18.27," 6,197 ", Rosa 
18.88," 6,109 ", Rosa 
18.98," 6,498 ", Rosa 
21.18," 6,231 ", Rosa 
20.88," 6,321 ", Rosa 
20.1," 6,449 ", Rosa 
18.76," 6,053 ", Rosa 
18.81," 6,053 ", Rosa 
18.59," 5,877 ", Rosa 
18.36," 6,448 ", Rosa 
16.87," 5,967 ", Rosa 
19.31," 6,238 ", Rosa 
18.98," 6,453 ", Rosa 
18.17," 6,273 ", Rosa 
18.72," 6,097 ", Rosa 
16.41," 5,618 ", Rosa 
17.99," 5,837 ", Rosa 
19.46," 6,009 ", Rosa 
19.18," 6,229 ", Rosa 
18.95," 6,148 ", Rosa 
18.83," 5,879 ", Rosa 
18.85, 6.2 , Rosa 
17.63," 5,929 ", Rosa 
19.94, 6.55 , Rosa 
18.55," 5,894 ", Rosa 
18.45," 5,794 ", Rosa 
19.38," 5,965 ", Rosa 
19.13," 5,924 ", Rosa 
19.14," 6,053 ", Rosa 
20.97," 6,316 ", Rosa 
19.06," 6,163 ", Rosa 
18.96, 5.75 , Rosa 
19.15," 6,185 ", Rosa 
18.89," 5,966 ", Rosa 
20.03, 6.32 , Rosa 
20.24," 6,188 ", Rosa 
18.14," 6,011 ", Rosa 
16.17," 5,703 ", Rosa 
18.43," 5,905 ", Rosa 
15.99," 5,144 ", Rosa 
18.75," 5,992 ", Rosa 
18.65," 6,102 ", Rosa 
17.98," 5,919 ", Rosa 
20.16," 6,185 ", Rosa 
17.55," 5,661 ", Rosa 
18.3," 5,962 ", Rosa 
18.94," 5,949 ", Rosa 
15.38," 5,795 ", Rosa 
16.16," 5,795 ", Rosa 
15.56," 5,847 ", Rosa 
15.38," 5,439 ", Rosa 
17.36," 5,971 ", Rosa 
15.57," 5,879 ", Rosa 
15.6," 5,752 ", Rosa 
16.23," 5,922 ", Rosa 
13.07," 5,395 ", Canadian 
13.32, 5.44 , Canadian 
13.34," 5,307 ", Canadian 
12.22," 5,221 ", Canadian 
11.82," 5,178 ", Canadian 
11.21," 5,275 ", Canadian 
11.43," 5,132 ", Canadian 
12.49," 5,002 ", Canadian 
12.7," 5,316 ", Canadian 
10.79," 5,194 ", Canadian 
11.83," 5,307 ", Canadian 
12.01, 5.27 , Canadian 
12.26, 5.36 , Canadian 
11.18," 5,001 ", Canadian 
11.36," 5,263 ", Canadian 
11.19," 5,219 ", Canadian 
11.34," 5,003 ", Canadian 
12.13, 5.22 , Canadian 
11.75, 5.31 , Canadian 
11.49, 5.31 , Canadian 
12.54," 5,491 ", Canadian 
12.02," 5,308 ", Canadian 
12.05," 5,046 ", Canadian 
12.55," 5,176 ", Canadian 
11.14," 5,049 ", Canadian 
12.1," 5,056 ", Canadian 
12.44, 5.27 , Canadian 
12.15," 5,338 ", Canadian 
11.35," 5,132 ", Canadian 
11.24," 5,088 ", Canadian 
11.02," 5,163 ", Canadian 
11.55," 4,956 ", Canadian 
11.27, 5 , Canadian 
11.4," 5,089 ", Canadian 
10.83," 5,185 ", Canadian 
10.8," 5,063 ", Canadian 
11.26," 5,092 ", Canadian 
10.74," 4,963 ", Canadian 
11.48," 5,002 ", Canadian 
12.21," 5,178 ", Canadian 
11.41," 4,825 ", Canadian 
12.46," 5,147 ", Canadian 
12.19," 5,158 ", Canadian 
11.65," 5,135 ", Canadian 
12.89," 5,316 ", Canadian 
11.56," 5,182 ", Canadian 
11.81," 5,352 ", Canadian 
10.91," 4,956 ", Canadian 
11.23," 4,957 ", Canadian 
10.59," 4,794 ", Canadian 
10.93," 5,045 ", Canadian 
11.27," 5,001 ", Canadian 
11.87," 5,132 ", Canadian 
10.82," 5,089 ", Canadian 
12.11," 5,012 ", Canadian 
12.8," 4,914 ", Canadian 
12.79," 4,958 ", Canadian 
13.37," 5,091 ", Canadian 
12.62," 5,231 ", Canadian 
12.76, 4.83 , Canadian 
12.38," 5,045 ", Canadian 
12.67," 4,745 ", Canadian 
11.18," 4,828 ", Canadian 
12.7, 5 , Canadian 
12.37," 5,001 ", Canadian 
12.19, 4.87 , Canadian 
11.23," 5,003 ", Canadian 
13.2," 5,056 ", Canadian 
11.84," 5,044 ", Canadian 
12.3," 5,063 ", Canadian 
